Location_ID,Display_Name,Area,Anchor,Type,SA2_NAME21,SA2_CODE21,Latitude,Longitude,Store_Size_sqm,Rent_Total_AUD_pa,Rent_per_sqm_pa,Sales_Index,Revenue_pa,COGS_pa,Gross_Profit_pa,Total_OPEX_pa,EBIT_pa,Net_Income_pa,Initial_Investment_AUD,NPV_5Y_AUD,Income_Proxy_HH_Weekly,Footfall_Proxy,Income_Index,Footfall_Index,Income_Source_URL,Footfall_Source_URL
WF_SYD_PRIME,Westfield Sydney (Sydney),Sydney,Westfield Sydney,Westfield,Sydney (South) - Haymarket,117011329,-33.8770654967871,151.202467096173,60,485000,8083.33333333333,1.03610977371208,2200000.0,-880000.0,1320000.0,-1052465.0,267535.0,187274.5,462208.112662494,-405768.482391859,2227,33.459555,1.07221954742416,1.0,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL13730,https://assets.ctfassets.net/0vreywxqlgab/2jCDgyNRHOqTByrcni3uKv/47f440c291228ef086d42355f46d237f/2024_Property_Compendium.xlsx
WF_SYD_SECOND,Westfield Sydney (Sydney),Sydney,Westfield Sydney,Westfield,Sydney (South) - Haymarket,117011329,-33.8770654967871,151.202467096173,60,350000,5833.33333333333,1.03610977371208,1709581.12662494,-683832.450649976,1025748.67597496,-917465.286470871,108283.389504092,81212.5421280693,428458.112662494,115698.28061392,2227,33.459555,1.07221954742416,1.0,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL13730,https://assets.ctfassets.net/0vreywxqlgab/2jCDgyNRHOqTByrcni3uKv/47f440c291228ef086d42355f46d237f/2024_Property_Compendium.xlsx
WF_BONDI,Westfield Bondi Junction (Bondi Junction),Bondi Junction,Westfield Bondi Junction,Westfield,Bondi Junction - Waverly,118011340,-33.8927,151.24802,60,287500,4791.66666666666,0.874555214143045,1443016.10333602,-577206.441334409,865809.662001614,-839237.950096825,26571.7119047892,19928.7839285919,386176.610333602,-149407.582154129,2566,17.187327,1.23543572460279,0.513674703683297,https://abs.gov.au/census/find-census-data/quickstats/2021/118011341,https://assets.ctfassets.net/0vreywxqlgab/2jCDgyNRHOqTByrcni3uKv/47f440c291228ef086d42355f46d237f/2024_Property_Compendium.xlsx
WF_PARRA,Westfield Parramatta (Parramatta),Parramatta,Westfield Parramatta,Westfield,Parramatta - South,124011453,-33.8231896526566,151.000051100247,60,250000,4166.66666666666,0.973846968256323,1606847.49762293,-642738.999049173,964108.49857376,-811404.002359753,152704.496214006,114528.372160505,393184.749762293,306755.97632833,2092,31.467774,1.00722195474241,0.940471981770229,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL13167,https://assets.ctfassets.net/0vreywxqlgab/2jCDgyNRHOqTByrcni3uKv/47f440c291228ef086d42355f46d237f/2024_Property_Compendium.xlsx
WF_CHATSWOOD,Westfield Chatswood (Chatswood),Chatswood,Westfield Chatswood,Westfield,Chatswood - East,121031413,-33.79658,151.18203,60,260000,4333.33333333333,0.76115822124943,1255911.06506156,-502364.426024624,753546.639036936,-800698.752838632,-47152.1138016957,-47152.1138016957,360591.106506156,-398719.024854624,2123,16.735436,1.02214732787674,0.500169114622116,https://abs.gov.au/census/find-census-data/quickstats/2021/121011684,https://assets.ctfassets.net/0vreywxqlgab/2jCDgyNRHOqTByrcni3uKv/47f440c291228ef086d42355f46d237f/2024_Property_Compendium.xlsx
WF_MIRANDA,Westfield Miranda (Miranda),Miranda,Westfield Miranda,Westfield,Miranda - Yowie Bay,127011589,-34.0475099783182,151.104520682422,60,210000,3500.0,0.686104106355577,1132071.7754867,-452828.71019468,679243.065292021,-743392.234753715,-64149.169461694,-64149.169461694,335707.17754867,-441901.367024018,1920,14.983122,0.924410207029369,0.447798005681785,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL12656,https://assets.ctfassets.net/0vreywxqlgab/2jCDgyNRHOqTByrcni3uKv/47f440c291228ef086d42355f46d237f/2024_Property_Compendium.xlsx
WF_WARRINGAH,Westfield Warringah Mall (Warringah Mall),Warringah Mall,Westfield Warringah Mall,Westfield,Freshwater - Brookvale,122031429,-33.7729124903997,151.282617870412,60,250000,4166.66666666666,0.673800652355329,1111771.07638629,-444708.430554517,667062.645831775,-782194.493506791,-115131.847675015,-115131.847675015,343677.107638629,-685986.192989867,2127,10.825107,1.02407318247472,0.323528122235935,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL10598,https://assets.ctfassets.net/0vreywxqlgab/2jCDgyNRHOqTByrcni3uKv/47f440c291228ef086d42355f46d237f/2024_Property_Compendium.xlsx
ST_CBD_CASTL,Castlereagh St luxury cluster (Sydney CBD),Sydney CBD,Castlereagh St luxury cluster,Street High-End,Sydney (South) - Haymarket,117011329,-33.86863,151.20703,60,450000,7500.0,1.00746268656716,1662313.43283582,-664925.373134328,997388.059701492,-1014676.49253731,-17288.4328358208,-17288.4328358208,448731.343283582,-360391.255206851,2108,33.459555,1.01492537313432,1.0,https://abs.gov.au/census/find-census-data/quickstats/2021/117031646,https://assets.ctfassets.net/0vreywxqlgab/2jCDgyNRHOqTByrcni3uKv/47f440c291228ef086d42355f46d237f/2024_Property_Compendium.xlsx
ST_CBD_PITT,Pitt St Mall jewellery cluster (Sydney CBD),Sydney CBD,Pitt St Mall jewellery cluster,Street Prime Strip,Sydney (South) - Haymarket,117011329,-33.87044,151.20835,60,780000,13000.0,1.00746268656716,1662313.43283582,-664925.373134328,997388.059701492,-1344676.49253731,-347288.43283582,-347288.43283582,531231.343283582,-1958270.47502706,2108,33.459555,1.01492537313432,1.0,https://abs.gov.au/census/find-census-data/quickstats/2021/117031646,https://assets.ctfassets.net/0vreywxqlgab/2jCDgyNRHOqTByrcni3uKv/47f440c291228ef086d42355f46d237f/2024_Property_Compendium.xlsx
ST_CHIN_HAY,Hay St Chinese jewellery strip (Chinatown),Chinatown,Hay St Chinese jewellery strip,Street Ethnic Cluster,Sydney (South) - Haymarket,117011329,-33.87742,151.20391,60,180000,3000.0,0.964853153586904,1592007.70341839,-636803.081367356,955204.622051035,-740528.454501685,214676.16754935,161007.125662012,374200.770341839,548947.639417528,1931,33.459555,0.929706307173808,1.0,https://abs.gov.au/census/find-census-data/quickstats/2021/SAL11884,https://assets.ctfassets.net/0vreywxqlgab/2jCDgyNRHOqTByrcni3uKv/47f440c291228ef086d42355f46d237f/2024_Property_Compendium.xlsx
ST_CHAT_VIC,Victoria Ave retail strip (Chatswood),Chatswood,Victoria Ave retail strip,Street High Street,Chatswood - East,121031413,-33.79611,151.18141,60,270000,4500.0,0.76115822124943,1255911.06506156,-502364.426024624,753546.639036936,-810698.752838632,-57152.1138016957,-57152.1138016957,363091.106506156,-437346.192484682,2123,16.735436,1.02214732787674,0.500169114622116,https://abs.gov.au/census/find-census-data/quickstats/2021/121011684,https://assets.ctfassets.net/0vreywxqlgab/2jCDgyNRHOqTByrcni3uKv/47f440c291228ef086d42355f46d237f/2024_Property_Compendium.xlsx
